Gene chr
CPSF7 chr11
C11orf66 chr11
LRRC10B chr11
ASRGL1 chr11
EEF1G chr11
TUT1 chr11
MTA2 chr11
ROM1 chr11
GANAB chr11
INTS5 chr11
C11orf83 chr11
BSCL2 chr11
HNRNPUL2 chr11
POLR2G chr11
SLC3A2 chr11
CHRM1 chr11
LGALS12 chr11
RARRES3 chr11
HRASLS2 chr11
RTN3 chr11
C11orf95 chr11
C11orf84 chr11
NAT11 chr11
MACROD1 chr11
STIP1 chr11
FERMT3 chr11
NUDT22 chr11
DNAJC4 chr11
VEGFB chr11
PLCB3 chr11
GPR137 chr11
KCNK4 chr11
C11orf20 chr11
ESRRA chr11
PRDX5 chr11
RPS6KA4 chr11
SLC22A11 chr11
SLC22A12 chr11
NRXN2 chr11
PYGM chr11
MAP4K2 chr11
MEN1 chr11
ATG2A chr11
PPP2R5B chr11
GPHA2 chr11
SNX15 chr11
NAALADL1 chr11
ZFPL1 chr11
C11orf2 chr11
TM7SF2 chr11
ZNHIT2 chr11
FAU chr11
SYVN1 chr11
CR609936 chr11
CAPN1 chr11
SLC22A20 chr11
POLA2 chr11
CDC42EP2 chr11
SLC25A45 chr11
SCYL1 chr11
LTBP3 chr11
FAM89B chr11
EHBP1L1 chr11
KCNK7 chr11
MAP3K11 chr11
PCNXL3 chr11
SIPA1 chr11
RELA chr11
RNASEH2C chr11
DKFZp761E198 chr11
TMEM151A chr11
CD248 chr11
RIN1 chr11
BRMS1 chr11
MRPL11 chr11
PELI3 chr11
DPP3 chr11
BBS1 chr11
ZDHHC24 chr11
ACTN3 chr11
CTSF chr11
CCDC87 chr11
CCS chr11
RBM14 chr11
RBM4B chr11
SPTBN2 chr11
LRFN4 chr11
C11orf86 chr11
SYT12 chr11
RAD9A chr11
TBC1D10C chr11
ATPGD1 chr11
RPS6KB2 chr11
GPR152 chr11
PITPNM1 chr11
GSTP1 chr11
C11orf72 chr11
NDUFV1 chr11
ALDH3B2 chr11
UNC93B1 chr11
ALDH3B1 chr11
TCIRG1 chr11
CHKA chr11
C11orf24 chr11
LRP5 chr11
MRPL21 chr11
TPCN2 chr11
MYEOV chr11
FGF19 chr11
ANO1 chr11
FADD chr11
SHANK2 chr11
DHCR7 chr11
NADSYN1 chr11
KRTAP5-7 chr11
FAM86C chr11
IL18BP chr11
NUMA1 chr11
LRTOMT chr11
INPPL1 chr11
PHOX2A chr11
CLPB chr11
ARAP1 chr11
STARD10 chr11
FCHSD2 chr11
P2RY2 chr11
ARHGEF17 chr11
RELT chr11
FAM168A chr11
PLEKHB1 chr11
PAAF1 chr11
C2CD3 chr11
LIPT2 chr11
POLD3 chr11
CHRDL2 chr11
RNF169 chr11
NEU3 chr11
SLCO2B1 chr11
ARRB1 chr11
MAP6 chr11
DGAT2 chr11
C11orf30 chr11
TSKU chr11
B3GNT6 chr11
MYO7A chr11
RSF1 chr11
C11orf67 chr11
INTS4 chr11
THRSP chr11
ALG8 chr11
USP35 chr11
GAB2 chr11
ODZ4 chr11
FAM181B chr11
PRCP chr11
C11orf82 chr11
PCF11 chr11
CCDC90B chr11
CREBZF chr11
CCDC89 chr11
SYTL2 chr11
PICALM chr11
ME3 chr11
PRSS23 chr11
FZD4 chr11
TMEM135 chr11
RAB38 chr11
GRM5 chr11
FAT3 chr11
KIAA1731 chr11
TAF1D chr11
MED17 chr11
C11orf90 chr11
PANX1 chr11
FUT4 chr11
AMOTL1 chr11
SFRS2B chr11
ENDOD1 chr11
FAM76B chr11
MTMR2 chr11
MAML2 chr11
JRKL chr11
PGR chr11
TRPC6 chr11
KIAA1377 chr11
TMEM123 chr11
KIAA1826 chr11
CWF19L2 chr11
ACAT1 chr11
NPAT chr11
EXPH5 chr11
DDX10 chr11
FDX1 chr11
ARHGAP20 chr11
AB231705 chr11
PPP2R1B chr11
ALG9 chr11
FDXACB1 chr11
CRYAB chr11
HSPB2 chr11
C11orf52 chr11
DLAT chr11
C11orf57 chr11
SDHD chr11
C11orf34 chr11
NCAM1 chr11
AK293718 chr11
ANKK1 chr11
ZW10 chr11
HTR3B chr11
ZBTB16 chr11
NNMT chr11
BUD13 chr11
ZNF259 chr11
APOA5 chr11
SIK3 chr11
SIDT2 chr11
PCSK7 chr11
RNF214 chr11
CEP164 chr11
DSCAML1 chr11
FXYD2 chr11
FXYD6 chr11
TMPRSS13 chr11
MGC13053 chr11
MLL chr11
TMEM25 chr11
C11orf60 chr11
PHLDB1 chr11
BCL9L chr11
UPK2 chr11
CCDC84 chr11
SLC37A4 chr11
VPS11 chr11
HMBS chr11
C2CD2L chr11
HINFP chr11
ABCG4 chr11
NLRX1 chr11
CCDC153 chr11
CBL chr11
MCAM chr11
MFRP chr11
USP2 chr11
TMEM136 chr11
ARHGEF12 chr11
GRIK4 chr11
TECTA chr11
SC5DL chr11
BLID chr11
UBASH3B chr11
BSX chr11
ASAM chr11
GRAMD1B chr11
ZNF202 chr11
OR6X1 chr11
OR6T1 chr11
OR8D2 chr11
OR8B8 chr11
OR8A1 chr11
TBRG1 chr11
ESAM chr11
ROBO3 chr11
FEZ1 chr11
MGC39545 chr11
STT3A chr11
PUS3 chr11
HYLS1 chr11
DDX25 chr11
CDON chr11
RPUSD4 chr11
FAM118B chr11
SRPR chr11
TIRAP chr11
RICS chr11
NFRKB chr11
PRDM10 chr11
NCRNA00167 chr11
APLP2 chr11
ADAMTS8 chr11
ADAMTS15 chr11
SNX19 chr11
JAM3 chr11
NCAPD3 chr11
ACAD8 chr11
GLB1L3 chr11
GLB1L2 chr11
SLC6A12 chr12
SPSB2 chr12
C1RL-AS1 chr12
PEX5 chr12
LOC374443 chr12
CLEC9A chr12
CLEC7A chr12
PRB1 chr12
APOLD1 chr12
DDX47 chr12
EMP1 chr12
TM7SF3 chr12
RP11-1060J15 chr12
AMN1 chr12
SLC48A1 chr12
RP1-228P16 chr12
RP11-370I10 chr12
TMBIM6 chr12
RP3-405J10 chr12
GALNT6 chr12
BC126393 chr12
SPRYD3 chr12
AAAS chr12
PRR13 chr12
MAP3K12 chr12
RP11-977G19 chr12
DCTN2 chr12
SLC26A10 chr12
AGAP2 chr12
TSFM chr12
FAM19A2 chr12
ANKS1B chr12
ANO4 chr12
GNN chr12
TRPV4 chr12
TCHP chr12
ANAPC7 chr12
RP1-46F2 chr12
RP1-267L14 chr12
P2RX7 chr12
ANAPC5 chr12
GALNT9 chr12
FBRSL1 chr12
ZNF268 chr12
RAD52 chr12
C12orf32 chr12
TULP3 chr12
KCNA5 chr12
NOP2 chr12
ACRBP chr12
PZP chr12
PFKM chr12
C12orf41 chr12
ACVR1B chr12
METTL7B chr12
RDH5 chr12
SPRYD4 chr12
MYO1A chr12
LRP1 chr12
AVIL chr12
SRGAP1 chr12
GLIPR1 chr12
TSPAN19 chr12
GALNT4 chr12
PLXNC1 chr12
IFT81 chr12
DYNLL1 chr12
TCTN2 chr12
DNAH10 chr12
DDX55 chr12
IQSEC3 chr12
KDM5A chr12
CCDC77 chr12
B4GALNT3 chr12
WNK1 chr12
HSN2 chr12
ERC1 chr12
FBXL14 chr12
WNT5B chr12
CACNA2D4 chr12
LRTM2 chr12
CACNA1C chr12
FKBP4 chr12
ITFG2 chr12
NRIP2 chr12
FGF6 chr12
C12orf4 chr12
NDUFA9 chr12
GALNT8 chr12
VWF chr12
PLEKHG6 chr12
TNFRSF1A chr12
SCNN1A chr12
TAPBPL chr12
VAMP1 chr12
MRPL51 chr12
NCAPD2 chr12
GAPDH chr12
IFFO1 chr12
CHD4 chr12
LPAR5 chr12
ZNF384 chr12
C12orf53 chr12
LAG3 chr12
CD4 chr12
GPR162 chr12
GNB3 chr12
USP5 chr12
TPI1 chr12
LRRC23 chr12
ENO2 chr12
ATN1 chr12
LPCAT3 chr12
C1RL chr12
CD163L1 chr12
CD163 chr12
SLC2A3 chr12
RIMKLB chr12
A2ML1 chr12
PHC1 chr12
A2M chr12
CLEC2D chr12
CLECL1 chr12
CLEC12B chr12
OLR1 chr12
KLRC2 chr12
CSDA chr12
TAS2R19 chr12
TAS2R46 chr12
TAS2R30 chr12
PRB2 chr12
ETV6 chr12
LRP6 chr12
LOH12CR1 chr12
DUSP16 chr12
CDKN1B chr12
GPRC5A chr12
GPRC5D chr12
HEBP1 chr12
KIAA1467 chr12
GSG1 chr12
ATF7IP chr12
WBP11 chr12
PTPRO chr12
EPS8 chr12
PIK3C2G chr12
PLEKHA5 chr12
AEBP2 chr12
PDE3A chr12
RECQL chr12
GYS2 chr12
LDHB chr12
KCNJ8 chr12
ST8SIA1 chr12
KIAA0528 chr12
BHLHE41 chr12
PPFIBP1 chr12
REP15 chr12
MRPS35 chr12
KLHDC5 chr12
TSPAN11 chr12
OVOS1 chr12
DENND5B chr12
C12orf35 chr12
FGD4 chr12
YARS2 chr12
PKP2 chr12
KIF21A chr12
SLC2A13 chr12
ADAMTS20 chr12
PUS7L chr12
DBX2 chr12
ARID2 chr12
SFRS2IP chr12
SLC38A2 chr12
RPAP3 chr12
P11 chr12
RAPGEF3 chr12
HDAC7 chr12
SENP1 chr12
C12orf68 chr12
OR10AD1 chr12
CCNT1 chr12
BC036043 chr12
ADCY6 chr12
DDX23 chr12
CCDC65 chr12
FKBP11 chr12
DDN chr12
PRKAG1 chr12
MLL2 chr12
LMBR1L chr12
PRPH chr12
TROAP chr12
DNAJC22 chr12
SPATS2 chr12
KCNH3 chr12
FAM186B chr12
PRPF40B chr12
NCKAP5L chr12
BCDIN3D chr12
AQP2 chr12
AQP5 chr12
AQP6 chr12
RACGAP1 chr12
LASS5 chr12
FAM186A chr12
LARP4 chr12
DIP2B chr12
ATF1 chr12
METTL7A chr12
SLC11A2 chr12
CSRNP2 chr12
SCN8A chr12
FIGNL2 chr12
NR4A1 chr12
KRT80 chr12
KRT7 chr12
KRT75 chr12
KRT5 chr12
KRT71 chr12
KRT74 chr12
KRT2 chr12
TENC1 chr12
SOAT2 chr12
CSAD chr12
ZNF740 chr12
ITGB7 chr12
ESPL1 chr12
C12orf10 chr12
SP1 chr12
TARBP2 chr12
NPFF chr12
ATP5G2 chr12
HOXC10 chr12
HOXC6 chr12
HOXC5 chr12
HOXC4 chr12
NFE2 chr12
ZNF385A chr12
PPP1R1A chr12
KIAA0748 chr12
CD63 chr12
DGKA chr12
SILV chr12
SUOX chr12
IKZF4 chr12
PA2G4 chr12
ESYT1 chr12
SMARCC2 chr12
SLC39A5 chr12
ANKRD52 chr12
PAN2 chr12
STAT2 chr12
TIMELESS chr12
BAZ2A chr12
NACA chr12
PRIM1 chr12
GPR182 chr12
ZBTB39 chr12
NAB2 chr12
STAT6 chr12
NXPH4 chr12
STAC3 chr12
R3HDM2 chr12
INHBE chr12
ARHGAP9 chr12
MARS chr12
DDIT3 chr12
MBD6 chr12
PIP4K2C chr12
GEFT chr12
B4GALNT1 chr12
TSPAN31 chr12
MARCH9 chr12
METTL1 chr12
CTDSP2 chr12
LRIG3 chr12
MON2 chr12
C12orf61 chr12
AVPR1A chr12
TMEM5 chr12
XPOT chr12
GNS chr12
TBC1D30 chr12
IRAK3 chr12
GRIP1 chr12
CAND1 chr12
DYRK2 chr12
MDM1 chr12
NUP107 chr12
MDM2 chr12
CPSF6 chr12
FRS2 chr12
CCT2 chr12
BEST3 chr12
PTPRB chr12
PTPRR chr12
ZFC3H1 chr12
TMEM19 chr12
RAB21 chr12
TRHDE chr12
KCNC2 chr12
KRR1 chr12
BBS10 chr12
NAV3 chr12
PAWR chr12
MYF6 chr12
C12orf26 chr12
TMTC2 chr12
ALX1 chr12
C12orf29 chr12
CEP290 chr12
TMTC3 chr12
DUSP6 chr12
PLEKHG7 chr12
CRADD chr12
TMCC3 chr12
VEZT chr12
NTN4 chr12
LTA4H chr12
C12orf63 chr12
TMPO chr12
UHRF1BP1L chr12
SCYL2 chr12
SLC5A8 chr12
UTP20 chr12
MYBPC1 chr12
SYCP3 chr12
GNPTAB chr12
HSP90B1 chr12
C12orf73 chr12
EID3 chr12
C12orf45 chr12
ALDH1L2 chr12
KIAA1033 chr12
APPL2 chr12
NUAK1 chr12
CKAP4 chr12
TCP11L2 chr12
POLR3B chr12
RIC8B chr12
MTERFD3 chr12
PRDM4 chr12
ASCL4 chr12
FICD chr12
SSH1 chr12
USP30 chr12
ALKBH2 chr12
ACACB chr12
MYO1H chr12
UBE3B chr12
MMAB chr12
MVK chr12
C12orf34 chr12
GIT2 chr12
ANKRD13A chr12
C12orf76 chr12
AK094845 chr12
ATP2A2 chr12
C12orf24 chr12
TCTN1 chr12
HVCN1 chr12
CCDC63 chr12
FAM109A chr12
SH2B3 chr12
ACAD10 chr12
ERP29 chr12
C12orf30 chr12
TRAFD1 chr12
C12orf51 chr12
RPH3A chr12
OAS2 chr12
RASAL1 chr12
CCDC42B chr12
DDX54 chr12
C12orf52 chr12
TPCN1 chr12
PLBD2 chr12
SDSL chr12
RBM19 chr12
TBX3 chr12
MED13L chr12
C12orf49 chr12
RNFT2 chr12
FBXW8 chr12
PEBP1 chr12
TAOK3 chr12
